FID,数量,X,Y
0,3,117.211972390000000,34.220294992299998
1,4,117.211936006000002,34.219586232700003
2,3,117.212997990000005,34.220200463200001
3,3,117.213190916000002,34.219695002300000
4,3,117.209348535999993,34.221377409600002
5,4,117.209220697999996,34.221081861099997
6,2,117.209690694000003,34.220868583799998
7,2,117.210144434000000,34.220847198999998
8,2,117.209068471999998,34.220661941300001
9,4,117.210156244999993,34.220469741999999
10,2,117.209493034000005,34.220499499100001
11,3,117.208939560000005,34.220160772000000
12,2,117.209433238000003,34.220081695300003
13,3,117.208639722000001,34.219667066600003
14,4,117.209404672000005,34.219677211899999
15,3,117.208808480000002,34.219170654099997
16,2,117.209481549000003,34.219182863900002
17,3,117.209938699000006,34.219197347200002
18,4,117.210365877000001,34.220091548200003
19,4,117.207252761000007,34.223466941500000
20,3,117.207255888000006,34.222867771200001
21,3,117.207222728000005,34.222459478200001
22,3,117.207290641000000,34.222051015300003
23,4,117.208034404000003,34.221843673000002
24,3,117.208470267999999,34.223468694899999
25,3,117.209532002000003,34.223646253500000
26,4,117.209659215000002,34.223069768199998
27,3,117.209933649999996,34.222205279500002
28,3,117.209840932999995,34.222611496399999
29,4,117.211525440000003,34.223867513199998
30,4,117.211638377000000,34.223558195400003
31,3,117.211747794999994,34.223220260100000
32,4,117.212741815000001,34.223873996000002
33,4,117.207319069999997,34.229916277000001
34,4,117.207646010999994,34.229624013500001
35,4,117.208146990000003,34.229221493899999
36,3,117.135134812000004,34.250730015400002
37,3,117.135440802999995,34.250431774699997
38,3,117.135200691999998,34.250013197800001
39,4,117.136257623999995,34.250760448400001
40,2,117.136298412000002,34.249976910599997
41,3,117.179967199000004,34.224801242900000
42,0,117.122013027999998,34.268482313900002
43,0,117.122927335000000,34.268958440399999
44,0,117.122006139000007,34.269679690899999
45,0,117.189902906000000,34.229042343000003
46,0,117.167978918000003,34.268486350700002
47,0,117.167999710000004,34.267846402000004
48,0,117.169325018999999,34.258721285500002
49,0,117.169086620000002,34.258794887800001
50,0,117.168587001999995,34.258198929000002
51,0,117.149871981000004,34.254667829500001
52,0,117.170909909000002,34.271147099899999
53,0,117.177054206999998,34.270833959000001
54,0,117.173059152999997,34.270918968399997
55,0,117.149405266000002,34.266666902600001
56,0,117.175778566999995,34.267235048899998
57,3,117.135383001999998,34.249493784899997
58,2,117.136538970000004,34.249530132200000
59,3,117.134346731999997,34.249495345000000
60,2,117.134177116000004,34.249040433300003
61,3,117.135362823999998,34.249044854300003
62,4,117.145212131999997,34.261751025400002
63,2,117.136152170000003,34.249061153699998
64,2,117.138192480000001,34.248938656699998
65,3,117.138355601000001,34.249553855700000
66,3,117.137884495999998,34.250304295699998
67,4,117.137243943000001,34.250651346600002
68,3,117.137964404000002,34.250690609300001
69,4,117.140873780000007,34.249770803700002
70,4,117.139970181999999,34.249299494799999
71,3,117.140638820000007,34.249272969400003
72,8,117.141305991999999,34.250431411999998
74,3,117.142523935000000,34.249099056900000
76,3,117.142828191999996,34.249653979599998
77,3,117.143976029000001,34.249678397200000
78,4,117.134583153999998,34.259008087500000
79,3,117.134921525999999,34.258629899200002
80,8,117.134241609000000,34.257617490800001
81,3,117.137695837999999,34.261830701599997
82,4,117.136842294000004,34.261627007100003
83,3,117.137105363000003,34.261085155400004
84,4,117.137118104999999,34.260580549099998
85,3,117.136495913000005,34.260606431200003
86,4,117.137381671000000,34.259686789699998
87,3,117.136502587999999,34.259664872899997
88,3,117.134880609000007,34.259646881599998
89,4,117.134998052000000,34.260558949599996
90,4,117.134282640999999,34.260315538299999
91,3,117.110917314999995,34.248510187699999
92,3,117.110952104999996,34.248209023800001
93,4,117.110957092000007,34.247631798900002
94,0,117.177469991999999,34.269640332199998
95,0,117.176854090999996,34.268399391000003
96,0,117.178730494999996,34.269271267800001
97,0,117.200313324000007,34.237048874199999
98,0,117.200750343999999,34.236092549200002
99,0,117.195234866999996,34.242816533300001
100,0,117.194792441999994,34.244486622700002
101,0,117.191061903999994,34.245171509499997
102,0,117.198165736999997,34.240074434699999
103,0,117.192820464999997,34.240155900600001
104,0,117.153189001000001,34.252080534100003
105,0,117.155513616999997,34.251299323100000
106,0,117.180152723999996,34.214266708899999
107,0,117.150907203000003,34.268840498599999
108,0,117.137466262999993,34.273953667299999
109,0,117.192626777000001,34.243863197099998
110,0,117.193820138999996,34.242442067100001
111,0,117.182590958999995,34.237552305599998
112,0,117.112498535000000,34.248247144099999
113,4,117.110865480000001,34.246491911500001
114,3,117.111061934000006,34.246486009199998
115,3,117.110764411000005,34.246354018300003
116,4,117.111040230000000,34.246363429299997
117,4,117.110855732000005,34.245848390299997
118,4,117.113690476000002,34.248229731199999
119,2,117.113696531000002,34.247605755499997
120,2,117.113989748999998,34.249065230200003
121,4,117.114285514000002,34.248576941000003
122,3,117.115884680999997,34.248053572099998
123,4,117.116113876000000,34.247624017800000
124,4,117.115415001000002,34.249063554199999
125,3,117.115730919000001,34.248509887799997
126,4,117.110794505000001,34.243304356499998
127,4,117.108877848999995,34.243024141699998
128,4,117.108615235000002,34.242499151099999
129,4,117.110664662000005,34.242847944099999
130,4,117.107868615000001,34.241766746000003
131,3,117.107071805000004,34.240787122400000
132,3,117.107045009000004,34.240038189800003
133,2,117.107513014999995,34.239544401800003
134,4,117.109413396999997,34.240702362900002
135,4,117.110007424000003,34.241817359499997
136,4,117.111213917000001,34.241978465400003
137,4,117.188382511000000,34.231805854500003
138,4,117.106632986999998,34.238925257799998
139,2,117.112658428000003,34.243378936100001
140,2,117.113674473000003,34.242978651400001
141,4,117.112803309000000,34.242944393300000
142,3,117.113542464999995,34.242418647000001
143,4,117.115304195999997,34.243298279999998
144,4,117.115479321999999,34.242359773399997
145,4,117.116665709000003,34.243347565800001
146,4,117.115357180999993,34.241409143799999
147,0,117.113233987000001,34.248351416299997
148,0,117.113020478999999,34.247636051400001
149,0,117.112382862000004,34.247660489300003
150,0,117.113193512999999,34.248155867299999
151,0,117.172561737999999,34.271381069400000
152,0,117.147491158999998,34.261148722199998
153,0,117.145129773999997,34.256877847900000
154,0,117.189283145999994,34.221115902800001
155,0,117.187976769000002,34.220583279200000
156,0,117.151059122999996,34.261964519099998
157,0,117.121318419000005,34.268593210600002
158,0,117.187249613000006,34.229222697099999
159,0,117.158612059999996,34.260997204900001
160,0,117.156915569999995,34.256952055600003
161,0,117.166828667000004,34.264486212800001
162,0,117.167207090000005,34.263000433800002
163,0,117.168342998000000,34.260881596899999
164,0,117.161917489999993,34.266309529300003
165,0,117.163291178999998,34.256023925400001
166,0,117.152934948999999,34.262046014600003
167,0,117.167252875000003,34.269696271900003
168,0,117.157144801000001,34.263069633199997
169,0,117.158928416999998,34.256952379799998
