FID,数量,X,Y
168,0,117.217322374999995,34.195270359699997
169,0,117.214549993000006,34.193072238200003
170,0,117.215329585999996,34.192440728000001
171,0,117.217130806000000,34.192274904900003
172,0,117.214181594999999,34.191724559599997
173,0,117.213559313000005,34.190700435899998
174,0,117.215334166999995,34.190707271999997
175,0,117.216438065000006,34.191740119999999
176,0,117.216056217000002,34.191089946399998
177,0,117.215572269000006,34.191781080399998
178,0,117.131620699999999,34.186237808199998
179,0,117.131739420000002,34.185799792899999
180,0,117.130749252000001,34.185095359899996
181,0,117.132683079000003,34.184668712099999
182,0,117.129967824999994,34.184238300600001
183,0,117.132660372000004,34.186419401599998
184,0,117.133304702000004,34.185222933399999
185,0,117.133432839999998,34.183967208399999
186,0,117.134064682000002,34.182777083300003
187,0,117.145929664999997,34.191945828999998
188,0,117.143508564000001,34.193008361499999
189,0,117.143780132000003,34.190800838500003
190,0,117.145520421000001,34.190709367700002
191,0,117.143847597999994,34.187289000000000
192,0,117.142726272000004,34.187454817400003
193,0,117.142639403000004,34.188777806799997
194,0,117.144120548999993,34.188206517499999
195,0,117.146572015000004,34.193502915400003
196,0,117.147886382999999,34.194710555599997
197,0,117.150401901999999,34.193627598900001
198,0,117.149834557000005,34.193980670199998
199,0,117.145684931999995,34.195714027400001
200,0,117.143339639000004,34.198720597399998
201,0,117.144236297000006,34.197714937100002
202,0,117.142375412000007,34.196666720300001
203,0,117.141516976999995,34.195743387000000
204,0,117.143237052999993,34.194805560100001
205,0,117.144542252999997,34.195693686100000
206,0,117.144718802000000,34.194412424399999
207,0,117.170122312000004,34.184505870000002
208,0,117.172867812999996,34.184539538999999
209,0,117.173983598999996,34.184271228199997
210,0,117.174989971000002,34.183565885800000
211,0,117.174505650000000,34.182766620700001
212,0,117.173487080000001,34.182959907499999
213,0,117.172301580999999,34.183436338100002
214,0,117.171997888000007,34.183842719899999
215,0,117.178150969000001,34.184623397499998
216,0,117.178231165000000,34.185052336699997
217,0,117.176572519000004,34.183164411699998
218,0,117.176860004000005,34.183712362000001
219,0,117.178094440999999,34.183248557299997
220,0,117.178233120000002,34.182773337999997
221,0,117.174679115000004,34.180591483500002
222,0,117.175077969000000,34.179997479800001
223,0,117.177530986999997,34.181200930300001
224,0,117.176570607000002,34.181261151599998
225,0,117.177322832000002,34.180477711000002
226,0,117.176453183999996,34.180736926999998
227,0,117.177158383000005,34.179312118299997
228,0,117.175768309999995,34.179518452799996
229,0,117.177124633000005,34.179823105700002
230,0,117.174161409999996,34.176191396500002
231,0,117.174645833000000,34.176093708099998
232,0,117.175818597000003,34.175710952499998
233,0,117.174552722000001,34.175347023900002
234,0,117.174172795000004,34.175506579100002
235,0,117.175222919999996,34.175854123999997
236,0,117.179516989000007,34.176938115200002
237,0,117.179928687000000,34.177642268900001
238,0,117.179113013000006,34.177712156699997
239,0,117.175332639000004,34.181491764299999
240,0,117.160710068000000,34.185910968999998
241,0,117.175623213999998,34.182325704999997
242,0,117.179094345999999,34.183352062200001
243,0,117.178450908000002,34.184077512999998
244,0,117.181252310000005,34.174330324899998
