FID,OBJECTID,XX,YY
0,0,117.239483581000002,34.252387818999999
1,0,117.240677073000001,34.252493101699997
2,0,117.239021708999999,34.251746007599998
3,0,117.239867083999997,34.250443946899999
4,0,117.239697277000005,34.249043694599997
5,0,117.239292325999998,34.248381120200001
6,0,117.240858774000003,34.249311480800003
7,0,117.242238658999995,34.249479679399997
8,0,117.242741620000004,34.249050988999997
9,0,117.241849540999993,34.248344142599997
10,0,117.242624114999998,34.248073417699999
11,0,117.243564477999996,34.248362834100000
12,0,117.239529414000003,34.245978046700003
13,0,117.240573638000001,34.245814984799999
14,0,117.239745589999998,34.245597072800003
15,0,117.239488961999996,34.244987232500002
16,0,117.239134020999998,34.243415872999996
17,0,117.242614513999996,34.247238890500000
18,0,117.241805589999998,34.245971931600003
19,0,117.243574492999997,34.244793198899998
20,0,117.243252311000006,34.245847915500001
21,0,117.243785829000004,34.246935351499999
22,0,117.243094545000005,34.244252210299997
23,0,117.245047306999993,34.242971603299999
24,0,117.244530205999993,34.242930846999997
25,0,117.244956004000002,34.243336149199997
26,0,117.242645741999993,34.242900783099998
27,0,117.241563057999997,34.244478393599998
28,0,117.192802427000004,34.264712992000000
29,0,117.191903855000007,34.263842111800002
30,0,117.192714644000006,34.263578747600000
31,0,117.193484127999994,34.264358925700002
32,0,117.193749679000007,34.263800752300000
33,0,117.193688862000002,34.263187222600003
34,0,117.194048932000001,34.263408476599999
35,0,117.193926622999996,34.262989638400001
36,0,117.193457382000005,34.262715271099999
37,0,117.193972493999993,34.262748231400003
38,0,117.194894130999998,34.263563537099998
39,0,117.195476206999999,34.262438781299998
40,0,117.193789699999996,34.262238011699999
41,0,117.190120948000001,34.262503724399998
42,0,117.190753776999998,34.262253917099997
43,0,117.190769785000001,34.260793545399999
44,0,117.192216176000002,34.259975642800001
45,0,117.184954566000002,34.263783667600002
46,0,117.185622187999996,34.263248946099999
47,0,117.184966204999995,34.262801329699997
48,0,117.241820892000007,34.251312452100002
49,0,117.242085767999995,34.250263061200002
50,0,117.239098221999996,34.249824360799998
51,0,117.181608506000003,34.255676256100003
52,0,117.181979100999996,34.255090524600000
53,0,117.185233803000003,34.255108488300003
54,0,117.193404153000003,34.264001221500003
55,0,117.241141815999995,34.243136595000003
56,0,117.200270811999999,34.244957663100003
57,0,117.199368977999995,34.245858059500002
58,0,117.198845758999994,34.246441064599999
59,0,117.198570282000006,34.246746435699997
60,0,117.186588776999997,34.263035596599998
61,0,117.186548244999997,34.262165623100003
62,0,117.186595523999998,34.261823799600002
63,0,117.186644485000002,34.261307854000002
64,0,117.183062800000002,34.262324254200003
65,0,117.183173779000001,34.261358187600003
66,0,117.183527557999994,34.261097531300003
67,0,117.180545850000001,34.261008820900003
68,0,117.239671935999993,34.251362607600001
69,0,117.239381766999998,34.251028387700003
70,0,117.181007713000000,34.258439016300002
71,0,117.181259888000000,34.255739501500003
72,0,117.182013531999999,34.254866783600001
73,0,117.179591462999994,34.252728978000000
74,0,117.179715711000000,34.253029990000002
75,0,117.182994737000001,34.254605355000002
76,0,117.183707204000001,34.254289824600001
77,0,117.183851275999999,34.254163898199998
78,0,117.183356681000006,34.253976018000003
79,0,117.183930468000000,34.253901140499998
80,0,117.184203941000007,34.254661984999998
81,0,117.185501912999996,34.255626759899997
82,0,117.185496267999994,34.254616409500002
83,0,117.185793873999998,34.253921486300001
84,0,117.184374973000004,34.253584385300002
85,0,117.184283074999996,34.254174098400000
86,0,117.184895276999995,34.254179892700002
87,0,117.182562773000001,34.252107355299998
88,0,117.182376364000007,34.251935436899998
89,0,117.186907418000004,34.257546305200002
90,0,117.186762470999994,34.257127685000000
91,0,117.187284117999994,34.256669534499999
92,0,117.186878948000000,34.256314592700001
93,0,117.188005833999995,34.259057813200002
94,0,117.187528104999998,34.258717517999997
95,0,117.189612819999994,34.259145444799998
96,0,117.187966058000001,34.258492565200001
97,0,117.190189344999993,34.248561441800000
98,0,117.189365890999994,34.258563684800002
99,0,117.188824623000002,34.258331437400003
100,0,117.187831059000004,34.258189565400002
101,0,117.188477316000004,34.257953984600000
102,0,117.187683586000006,34.257583110900001
103,0,117.188563266000003,34.257327863900002
104,0,117.189285154999993,34.257469520500003
105,0,117.189912342000000,34.258242252000002
106,0,117.187704334000003,34.256986384500003
107,0,117.188433036999996,34.256874593100001
108,0,117.189457437000002,34.257031067299998
109,0,117.189753679999995,34.257133784799997
110,0,117.188499840000006,34.256514721300000
111,0,117.189179929999995,34.256212263400002
112,0,117.188481945999996,34.256081675700003
113,0,117.189300094999993,34.255774361299999
114,0,117.188876758000006,34.255244163599997
115,0,117.188303516000005,34.254704479300003
116,0,117.189621979999998,34.255119189600002
117,0,117.190134599000004,34.254831646299998
118,0,117.188771794999994,34.254361177699998
119,0,117.190601401999999,34.254634648600003
120,0,117.190737859999999,34.253983561799998
121,0,117.189732886000002,34.253702490899997
122,0,117.190711394000004,34.252964898800002
123,0,117.191769938999997,34.252782692099998
124,0,117.192558012000006,34.252936495500002
125,0,117.191542362000007,34.253047176099997
126,0,117.192272126999995,34.254075716199999
127,0,117.191340233000005,34.254103363500001
128,0,117.187263680000001,34.257089351600001
129,0,117.187739828000005,34.261910099100000
130,0,117.199921070000002,34.246431369200003
131,0,117.191816598000003,34.254326199899999
132,0,117.191779201000003,34.254555746800001
133,0,117.194049354000001,34.253390421500001
134,0,117.194214938000002,34.253116787200000
135,0,117.193881501000007,34.252715551500003
136,0,117.193680461000000,34.257142358499998
137,0,117.193216762000006,34.256873260299997
138,0,117.192562760000001,34.256741681800001
139,0,117.192591738999994,34.256474636999997
140,0,117.195384606999994,34.258165064600000
141,0,117.192527267000003,34.259516258600001
142,0,117.192095168999998,34.258969486100000
143,0,117.192145632000006,34.258666478000002
144,0,117.192427022999993,34.258533372199999
145,0,117.192360594999997,34.258275301899999
146,0,117.192107606999997,34.257674335399997
147,0,117.191732115999997,34.257328210499999
148,0,117.192006086999996,34.256984344899998
149,0,117.191988817999999,34.256574975800000
150,0,117.205654425000006,34.252237908799998
151,0,117.207967546000006,34.252383008000002
152,0,117.208549692000005,34.251793351000003
153,0,117.208764568000007,34.252387206500003
154,0,117.205524354000005,34.249750274400000
155,0,117.205115644000003,34.248766979800003
156,0,117.205187922999997,34.248277009399999
157,0,117.204763225999997,34.248373005500000
158,0,117.206269904999999,34.247586458800001
159,0,117.206299655999999,34.247317127499997
160,0,117.205863784000002,34.247313222899997
161,0,117.206633995999994,34.246996625599998
162,0,117.204727922000004,34.246536176500001
163,0,117.205608154999993,34.245498360699997
164,0,117.207950358999994,34.246613363199998
165,0,117.200194193000002,34.246741440999998
166,0,117.200114948999996,34.246980694900003
167,0,117.210000746999995,34.246961236799997
168,0,117.210027087000000,34.246465355399998
169,0,117.209855942999994,34.245853012799998
170,0,117.207704535999994,34.246245146900002
171,0,117.207375433999999,34.244722321499999
172,0,117.208364188999994,34.244549387500001
173,0,117.207587482999998,34.243632234099998
174,0,117.207918195999994,34.243178770699998
175,0,117.209612543999995,34.243546953799999
176,0,117.210704786999997,34.243440609399997
177,0,117.208840804999994,34.242689166600002
178,0,117.209521953000007,34.242641373799998
179,0,117.210183866999998,34.242583930899997
180,0,117.210738160000005,34.242558380399998
181,0,117.180885697999997,34.255814828500000
182,0,117.180995921000005,34.255506974799999
183,0,117.180944756000002,34.255146242599999
184,0,117.191447057999994,34.260865665300003
185,0,117.191860435999999,34.261577195000001
186,0,117.192486504000001,34.261593005599998
187,0,117.192129639000001,34.261108129699998
188,0,117.192737180999998,34.261063669999999
189,0,117.193294054999996,34.261173275300003
190,0,117.193140159999999,34.260707926599999
191,0,117.192845629000004,34.260548105300003
192,0,117.193754029000004,34.260316739399997
193,0,117.203041515999999,34.244175198400001
194,0,117.202890432000004,34.244435340899997
195,0,117.203031074999998,34.245257431200002
196,0,117.202038654999996,34.245110981499998
197,0,117.202327542000006,34.245586585399998
198,0,117.201250010999999,34.245784441700003
199,0,117.201906901000001,34.245981597300002
200,0,117.202738408000002,34.246161392799998
201,0,117.202209228000001,34.246730009799997
202,0,117.200811060999996,34.249003680199998
203,0,117.201649768999999,34.249084173500002
204,0,117.201169738999994,34.249513439799998
205,0,117.200579833999996,34.250853030700000
206,0,117.198237750999994,34.247243882100001
207,0,117.198207495999995,34.247521187899999
208,0,117.197626967000005,34.247899524200001
209,0,117.196845850000003,34.248071602899998
210,0,117.196610000000007,34.248278198800001
211,0,117.196816382999998,34.248653852300002
212,0,117.230679234999997,34.210136231900002
213,0,117.219734205999998,34.260180661299998
214,0,117.197756240999993,34.263178924100004
215,0,117.205820356000004,34.265569749000001
216,0,117.204169769000003,34.265062766500002
217,0,117.205237553000003,34.264996741200001
218,0,117.204232579000006,34.264472324600000
219,0,117.205954362000000,34.264663320799997
220,0,117.206889649999994,34.264443373200002
221,0,117.205293349000002,34.264308599800003
222,0,117.204287156999996,34.264135657700002
223,0,117.204333289000004,34.263716244500003
224,0,117.205321845000000,34.263520723500001
225,0,117.206688377999996,34.263692244900000
226,0,117.207473734000004,34.263552072400003
227,0,117.206514657000000,34.263049758900003
228,0,117.207464009000006,34.262811683099997
229,0,117.204197128999994,34.263185837000002
230,0,117.204401180000005,34.262649839399998
231,0,117.200714748999999,34.249518692099997
232,0,117.235202439000005,34.215648340500003
233,0,117.205756334000000,34.262633379900002
234,0,117.209073962000005,34.263625797899998
235,0,117.210067644000006,34.264210916800003
236,0,117.210493588000006,34.268227352099998
237,0,117.211146112999998,34.267573646800003
238,0,117.211980779000001,34.267423448499997
239,0,117.212992725999996,34.268087161200000
240,0,117.209106516000006,34.265912243999999
241,0,117.208458957000005,34.265622021600002
242,0,117.207825956999997,34.265827720300003
243,0,117.208731442000001,34.265177388300003
244,0,117.210816273999995,34.266605302400002
245,0,117.211150756999999,34.266986898799999
246,0,117.211699190999994,34.266394280699998
247,0,117.211397383000005,34.265896970900002
248,0,117.211012452000006,34.265528323500000
249,0,117.212493847000005,34.266327584499997
250,0,117.212939159000001,34.266186554299999
251,0,117.213456966999999,34.266514485499997
252,0,117.212659320000000,34.265871873000002
253,0,117.212317468999998,34.265237208199999
254,0,117.212789584000006,34.265382309200000
255,0,117.212175778000002,34.264251747199999
256,0,117.212952018999999,34.263455318299997
257,0,117.213563786999998,34.263404747700001
258,0,117.213613050999996,34.262941827699997
259,0,117.213068524999997,34.262875248400000
260,0,117.214799525999993,34.263041045700000
261,0,117.215546660000001,34.263158556900002
262,0,117.217551938000000,34.263481667400001
263,0,117.237091538000001,34.247123290099999
264,0,117.236143407000000,34.247200365700003
265,0,117.237016061999995,34.246200240500002
266,0,117.237013892999997,34.245553899999997
267,0,117.259734968999993,34.250451528799999
268,0,117.259673954999997,34.249934790899999
269,0,117.258626433000003,34.250330218499997
270,0,117.258602808999996,34.249526147200001
271,0,117.258777666000000,34.249034460099999
272,0,117.257698719999993,34.248933182999998
273,0,117.257028008999995,34.249077106900003
274,0,117.257548904999993,34.249456580000000
275,0,117.256924545999993,34.249916193799997
276,0,117.257567809999998,34.250049667399999
277,0,117.203231991999999,34.273284561399997
278,0,117.204240618000000,34.272255978700002
279,0,117.205371116999999,34.272250008500002
280,0,117.205041512999998,34.272736225899997
281,0,117.205386989000004,34.273772014499997
282,0,117.206579427999998,34.273592273699997
283,0,117.206591020000005,34.272889018900003
284,0,117.206729804999995,34.272495016199997
285,0,117.206923359000001,34.272690593100002
286,0,117.207805636000003,34.273378474300003
287,0,117.207678113000000,34.273038466700001
288,0,117.208493618000006,34.272958895099997
289,0,117.209373455999994,34.273351341300000
290,0,117.210087090000002,34.273297863499998
291,0,117.210064459999998,34.272738094799998
292,0,117.210871976000007,34.272949105999999
293,0,117.211201222000000,34.273587303399999
