FID,OBJECTID,X,Y
0,1,117.268459852999996,34.268061288399998
1,2,117.267045787000001,34.267820133699999
2,3,117.267933288999998,34.267417007500001
3,4,117.268887780000000,34.267807519900003
4,5,117.269778310000007,34.266879750699999
5,6,117.267088603999994,34.266845212400000
6,7,117.266425927000000,34.266515112400000
7,8,117.269544570999997,34.266271443900003
8,9,117.268772290000001,34.265788945799997
9,10,117.267072407000001,34.265501727800000
10,11,117.270485726999993,34.269215314100002
11,12,117.270327370000004,34.267986335700002
12,13,117.267092195999993,34.264430307700003
13,14,117.266510146000002,34.263880594600003
14,15,117.268015563000006,34.263987030499997
15,16,117.268397898000003,34.263160916899999
16,17,117.266487366000007,34.263033899900002
17,18,117.262232044000001,34.267557742299999
18,19,117.262760047000000,34.267394896200003
19,20,117.263338098999995,34.267362170200002
20,21,117.263439263999999,34.267742629700003
21,22,117.262117126000007,34.266632056600002
22,23,117.263423743999994,34.266634979899997
23,24,117.263282709999999,34.265629685000000
24,25,117.261954583999994,34.265355848399999
25,26,117.257356490000006,34.266889906499998
26,27,117.259114629999999,34.267157161000000
27,28,117.258303838000003,34.266578793299999
28,29,117.257617586999999,34.265836056799998
29,30,117.259064617000007,34.265913149200003
30,31,117.261152186000004,34.266582297900001
31,32,117.259841616000003,34.267162300199999
32,33,117.262457319000006,34.261548220999998
33,34,117.263435634000004,34.262091378299999
34,35,117.261606525999994,34.262328567700003
35,36,117.260907261000000,34.262281638200001
36,37,117.260534282999998,34.261507243600001
37,38,117.259097849000000,34.261207368000001
38,39,117.258717411000006,34.261742455499999
39,40,117.257973669999998,34.263728863499999
40,41,117.258708264000006,34.263826061700001
41,42,117.259283146000001,34.263104995299997
42,43,117.259201188000006,34.262235049399997
43,44,117.260415852999998,34.263352324499998
44,45,117.260085204999996,34.263450342299997
45,46,117.260196535000006,34.263947418800001
46,47,117.260543577000007,34.263966717199999
47,48,117.268213510999999,34.261102490799999
48,49,117.268212833000007,34.260889016900002
49,50,117.286012467999996,34.261523667600002
50,51,117.286988355999995,34.261917090600001
51,52,117.287005875000006,34.262507384800003
52,53,117.286122556999999,34.262271884199997
53,54,117.288092269000003,34.263979719900000
54,55,117.288470215000004,34.264197075900000
55,56,117.288777085000007,34.264043701600002
56,57,117.289578484000003,34.264301200600002
57,58,117.290658840999996,34.264509260799997
58,59,117.291539443999994,34.264946521399999
59,60,117.292683159999996,34.265053991700000
60,61,117.293649615999996,34.265197792400002
61,62,117.294639157000006,34.265603286000001
62,63,117.294783150000001,34.265373960900000
63,64,117.294439421999996,34.264042041800003
64,65,117.295363434999999,34.264278337999997
65,66,117.294599872999996,34.263548517899999
66,67,117.291865490999996,34.263560739699997
67,68,117.291343943000001,34.263272895699998
68,69,117.291570011000005,34.262850178599997
69,70,117.291894542999998,34.262490196400002
70,71,117.293133155000007,34.263229989400003
71,72,117.292601180000005,34.263415874400003
72,73,117.292551218000000,34.263722252699999
73,74,117.285163608999994,34.259883763799998
74,75,117.286794091000004,34.260373694499997
75,76,117.286268939999999,34.259265806700000
76,77,117.286958924999993,34.259425193900000
77,78,117.276018467000000,34.255790515000001
78,79,117.275781619000000,34.256272858199999
79,80,117.276838307000006,34.255618364000000
80,81,117.277214274000002,34.256041125300001
81,82,117.276831173000005,34.256568546700002
82,83,117.277823131000005,34.256672443900001
83,84,117.278222434000000,34.258116250999997
84,85,117.277861795999996,34.257642414899998
85,86,117.295073661999993,34.262902119200000
