FID,数量,X,Y
137,0,117.178327210999996,34.283319957000003
138,0,117.179495912999997,34.282937097000001
139,0,117.179486914999998,34.281961900200002
140,0,117.178402567000006,34.282197212500002
141,0,117.179269552999997,34.281392542699997
142,0,117.178642723999999,34.280504023600002
143,0,117.179399908999997,34.280361437899998
144,0,117.179451267999994,34.279861871400001
145,0,117.179053773999996,34.279514214099997
146,0,117.178411733000004,34.279500235400000
147,0,117.178063273000006,34.279996328300001
148,0,117.177868343000000,34.280420612000000
149,0,117.204018516999994,34.295724291299997
150,0,117.203122002000001,34.295785887500003
151,0,117.203431029000001,34.295240964800001
152,0,117.202942645999997,34.295442337300003
153,0,117.202601900000005,34.295182903700002
154,0,117.206457293000000,34.274199014700002
155,4,117.206845119999997,34.280407307499999
156,4,117.206793813999994,34.279989985299999
157,4,117.209657058999994,34.280239673300002
158,4,117.209456356999993,34.280514909899999
159,4,117.208832629000000,34.279868199500001
160,4,117.208054844000003,34.280488947400002
161,4,117.207977919000001,34.279830510499998
162,4,117.207272180999993,34.281420936300002
163,4,117.207138164000000,34.281766052300000
164,4,117.203260456999999,34.276981663699999
165,4,117.204717699000000,34.276627381700003
166,4,117.202339464000005,34.276437896300003
167,4,117.203934797000002,34.279399034400001
168,0,117.204364325000000,34.279385096799999
169,0,117.205247260999997,34.279403755899999
170,0,117.205089130999994,34.279051408100003
171,0,117.203428626000004,34.294992635600003
172,0,117.183134726999995,34.270271429200001
173,0,117.201201341000001,34.287483101500001
174,0,117.203400982999995,34.293203853999998
175,0,117.189265598000006,34.291902567199998
176,0,117.193958957999996,34.277141614400001
177,0,117.165411090999996,34.275463356899998
178,0,117.204585859999995,34.278454939500001
179,0,117.203447530999995,34.278302248300001
180,4,117.206085192000003,34.281395707000001
181,4,117.205635923000003,34.281220652700000
182,4,117.205407065000003,34.280281594199998
183,4,117.205398896000005,34.279958000800001
184,0,117.206331320999993,34.277044274300003
185,0,117.205788639999994,34.276285526800002
186,4,117.208474637999998,34.280024414899998
187,4,117.205412695000007,34.282768382000000
188,4,117.204086153999995,34.280482990400003
189,4,117.201910714999997,34.284874042399998
190,4,117.202420674999999,34.285393012999997
191,4,117.202796371999995,34.285802803800003
192,4,117.203042616000005,34.285382299299997
193,4,117.202688135000002,34.285007546599999
194,4,117.203546582000001,34.284973104000002
195,4,117.203020233999993,34.281963089100003
196,4,117.201001399999996,34.282461267199999
197,4,117.201336561000005,34.281941585399998
198,4,117.202108980999995,34.282427704100002
199,4,117.200290778999999,34.281975996100002
200,0,117.159359515000006,34.284684374400001
201,0,117.159940259999999,34.283293428299999
202,0,117.160901097000007,34.283864020499998
203,0,117.160999634999996,34.282796517199998
204,0,117.160182746000004,34.284637167400000
205,0,117.160176297999996,34.281995575300002
206,0,117.158558241999998,34.282034262000003
207,0,117.157316609999995,34.281874861799999
208,0,117.156925920000006,34.282701832000001
209,2,117.156909476999999,34.283131187800002
210,0,117.156845675000000,34.283589226499998
211,0,117.158481949000006,34.282721296699997
212,0,117.158031136999995,34.283662837100003
213,2,117.157581230999995,34.284325308100001
214,0,117.156095286999999,34.284643214900001
215,0,117.156001314999997,34.285106062099999
216,0,117.200724510000001,34.287314458899999
217,0,117.200293958000003,34.287097940300001
218,0,117.203502807000007,34.291452049500002
219,0,117.203123673999997,34.290414451099998
220,0,117.202894467999997,34.288958725400001
221,0,117.202476873999998,34.288115589400000
222,4,117.200532107000001,34.281513293200000
223,4,117.201318409999999,34.280620350400000
224,4,117.202091116999995,34.279361957200003
225,4,117.201674753999995,34.278135475100001
226,4,117.201503471999999,34.277157312000000
227,4,117.200672138000002,34.276021334699998
228,4,117.199364365999998,34.277491987700003
229,4,117.200064529000002,34.278400691800002
230,4,117.197454401000002,34.276677730899998
231,4,117.198502930999993,34.278881504099999
232,4,117.198017555000007,34.277382591299997
233,0,117.156874694999999,34.285007153700001
234,0,117.155726716999993,34.285790960900002
235,0,117.156494480000006,34.286069050099997
236,0,117.154002116000001,34.278768675800002
237,0,117.154633531000002,34.278374800800002
238,0,117.155240454999998,34.278416013200001
239,0,117.155356080000004,34.277541930600002
240,0,117.156260536000005,34.278130401500000
241,0,117.158733096000006,34.279997573599999
242,0,117.159605786000000,34.279942773599998
243,0,117.161058104000006,34.278718460800000
244,0,117.161779014999993,34.278186805600001
245,0,117.160607103000004,34.277645715500000
246,0,117.161087636000005,34.277254509300001
247,0,117.159389365999999,34.277554879299998
248,0,117.158702542000000,34.277117490899997
249,0,117.157714694000006,34.277035284699998
250,0,117.157379394000003,34.278276017000003
251,0,117.157712867000001,34.277980420100000
252,0,117.165639341000002,34.285295131799998
253,0,117.165891993000002,34.284450432000000
254,0,117.166319290000004,34.284743231299998
255,0,117.166618432000007,34.285619383099998
256,0,117.166839835000005,34.285688872300000
257,0,117.171950918999997,34.277425760800000
258,4,117.185104996999996,34.276091996900000
259,4,117.185567945000003,34.275186906800002
260,4,117.185011251999995,34.274640795200000
261,4,117.184560930999993,34.275283806799997
262,4,117.184445635000003,34.275891346900003
263,4,117.184240649000003,34.276131387299998
264,4,117.185835519999998,34.276521485700002
265,4,117.187294068000000,34.275341108500001
266,4,117.187179469000000,34.274849233799998
267,4,117.186859284999997,34.274444621100002
268,4,117.186473105999994,34.274059972300002
269,4,117.185874768999994,34.274244875199997
270,4,117.186343800000003,34.274931819800003
271,4,117.184048216999997,34.272661285600002
272,4,117.184707735000003,34.272650011899998
273,4,117.183881051000000,34.271585287800001
274,4,117.183014247000003,34.271451376199998
275,4,117.182731353999998,34.270822160900003
276,4,117.183932169000002,34.270857478099998
277,4,117.182851197000005,34.270537094300003
278,4,117.182528312000002,34.270288309999998
279,4,117.184149546000000,34.270289341199998
280,4,117.184334918000005,34.269697778900003
281,4,117.183485145999995,34.268422629900002
282,4,117.184446233000003,34.268330469500000
283,4,117.187957940000004,34.274273306100000
284,4,117.188927715000005,34.274168947800000
285,4,117.189457332999993,34.274183013799998
286,4,117.188188550000007,34.273789479900003
287,4,117.188809011000004,34.273724601900000
288,4,117.188079465000001,34.273651485099997
289,4,117.188759886000000,34.272889455900000
290,4,117.189219942999998,34.272731245499997
291,4,117.190146987000006,34.272372422399997
292,4,117.191034770000002,34.272771939599998
293,4,117.191568016999994,34.272898827500001
294,4,117.190471134000006,34.271989548800001
295,4,117.191656511000005,34.272089814300003
296,4,117.190132826999999,34.271705095199998
297,4,117.191090595000006,34.271586287600002
298,4,117.191728755000000,34.271552123399999
299,4,117.191481057999994,34.270390222800003
300,4,117.191375609999994,34.270920091999997
301,4,117.192220431999999,34.270696678999997
302,4,117.192331378000006,34.270984316300002
303,4,117.192084956000002,34.273450639399996
304,4,117.195079753000002,34.269936510999997
305,4,117.194228443000000,34.269115707099999
306,4,117.194603608999998,34.268829400999998
307,4,117.195196451000001,34.269113918599999
308,4,117.195577314999994,34.268999346100003
309,4,117.194568656000001,34.268347467799998
310,4,117.194220150999996,34.267748690200001
311,4,117.194814105999995,34.267591785299999
312,4,117.195421035999999,34.267455531600000
313,4,117.195081040999995,34.267157497900001
314,4,117.195504016000001,34.266950718099999
315,4,117.195062265000004,34.266947350800002
316,4,117.195704590999995,34.266473008500000
317,4,117.195906550999993,34.266114969999997
318,4,117.196480120000004,34.266568225400000
319,4,117.197319706000002,34.266537586299997
320,4,117.197944539999995,34.266403007699999
321,4,117.190161548999995,34.266040688499999
322,4,117.187471650000006,34.266984123900002
323,4,117.188057072999996,34.266873857400000
